window,ppo,rsi,Pct_Change_Vol_1,Pct_Change_Vol_2,Pct_Change_Vol_3,Pct_Change_Vol_4,Pct_Change_Vol_5,Pct_Change_Vol_6,Pct_Change_Vol_7,Pct_Change_Vol_8,Pct_Change_Vol_9,Pct_Change_Vol_10,Pct_Change_Vol_11,Pct_Change_Vol_12,Pct_Change_Vol_13,Pct_Change_Vol_14,Pct_Change_Vol_15,Pct_Change_Vol_16,Pct_Change_Vol_17,Pct_Change_Vol_18,Pct_Change_Vol_19,Pct_Change_Vol_20,Pct_Change_Vol_21,Pct_Change_Vol_22,Pct_Change_Vol_23,Pct_Change_Vol_24,Pct_Change_Vol_25
1077,12,2,-0.012786566466791771,-0.010452833904723846,-0.0007941885436651974,-0.01704873973014598,0.016018483715271925,-0.05409488813291685,-0.01750498634424058,0.007078885017676839,0.022826903135337417,0.00925920397209512,-0.033194928443671556,-0.016995139930565117,0.0678573721911373,0.10228479906896859,0.1641501862242034,0.017238619137694533,-0.027181578389376515,-0.02840598648074133,0.05525662838557066,0.11320664300745853,-0.0100052156493321,-0.00590457332481209,-0.0161917593254427,-0.03949931714853483,-0.03587610610091274
1102,14,14,-0.04959362558986191,-0.03495306744563742,-0.027453895513373627,-0.012227444104449425,0.014277347121445905,-0.018214797294544227,-0.03365287233716652,-0.05101189162303221,-0.0561234536658104,-0.030073231726929106,-0.06806225465636195,-0.07623430206857573,-0.04381601826820525,-0.02986183351033944,-0.023201428649081368,-0.019036714256790654,-0.04434697188359482,-0.02234026221285046,0.02269413171003065,-0.10941220386936024,0.01653151919508966,0.03414148590611443,0.023266611230874146,-0.0105225136710001,-0.04414601173648025
1127,1,6,0.010567330228756111,0.027425587923696426,0.0008059006887928266,0.03248847131061283,-0.047588040562019374,-0.03470752932943422,0.05720765361080793,0.04816119598292268,0.15042535781408328,0.1085263310952993,0.029744153157087894,0.019237191655929964,-0.0006159876372491269,-0.05270187803024029,-0.08067333890104522,-0.0191483800889789,-0.06594983477008798,-0.06622500802495068,-0.04452471486393972,0.20696142128560657,0.08098842760713487,0.012265873055604448,0.036836294628725064,0.04725794193551769,0.07124693961582573
1152,1,7,0.02343427584202562,-0.01570014281382337,-0.044787552006249065,-0.011013709850209552,0.01773800154284877,0.04248920710703463,0.0596397703500926,-0.017358275331088913,-0.018192379718229845,-0.016322194949830893,0.02586637625800048,-0.01948176685744385,-0.0361081190314082,0.03528640170699071,-0.01846055725811946,-0.013065255854392777,0.006783719625346851,-0.0068825090745627815,0.046358183249836094,0.010803513768148365,-0.04263947699492199,0.014464814375878321,-0.07318666229224224,-0.03257837568872535,0.0269203405460674
1177,3,3,-0.03811339450806284,-0.05212497669482252,-0.04061976883269203,-0.030045145587853095,-0.036117632136514644,-0.03879883219900215,-0.035835501206557874,0.05594246065032715,-0.001989864276723874,-0.0061451418794554735,0.053163080258082474,-0.012816506261544847,-0.01715189428278896,0.028214307877097777,-0.04359923904905716,0.011615370373426304,0.09528445064333657,0.3686156492539747,0.10010258363952773,0.030219355692575833,0.043920849572688825,-0.014763555966467723,-0.025254364477708235,-0.04232374057781363,-0.034865834100518134
1202,1,4,-0.06899717159037766,-0.00555618035001082,0.07016684566510456,-0.009870417225804395,0.0017707905017920744,-0.04645155894225195,-0.01795299636741099,0.023091168068317902,-0.011397220392711627,-0.010119377686686026,0.018549218260223377,-0.0014132967293307708,0.015604815052247645,-0.039405038170598816,-0.0762504799696686,-0.025721389717175414,0.03391644164043339,0.02181812996299226,0.02629414489163051,-0.02503312051177775,-0.027615328776183223,-0.02667864442457968,-0.035973015059693636,0.010006522556965436,0.05968386890082522
1227,1,1,0.05908304958720523,-0.021857727161093576,-0.06217117359544144,-0.05479094692052722,-0.0005230048106161789,-0.05551612659644933,-0.04019320891175404,-0.008245142328823007,0.012313156607326237,0.0526705761181645,0.1083089442009133,0.0013913053287142318,0.13479698269229168,0.052840718511412144,0.05624052765017162,0.10531627196414628,0.0013097630381446734,0.08824816251704082,-0.011339263159894308,-0.00614962988670209,-0.01899906631442838,-0.015201855315613022,-0.04131381069725615,-0.03514711604106324,0.002340396296987457
1252,1,1,0.03551781066573256,-0.03346714606145651,0.07350108336292083,-0.03547917275447643,0.009333571104364946,0.27871685598413887,0.07357529010232433,0.06459892585348181,-0.03364136680064156,-0.02654038315770002,-0.03728834218531851,0.005519533665149456,-0.0625976539627151,-0.0767156558562121,-0.062843917160876,-0.06014561174120703,-0.020412126524485208,0.030937603837053018,0.006988723277377984,-0.06693180761798778,-0.02550374441751535,-0.05265736206118543,-0.04151680697517335,-0.05843401413012683,-0.022550513596394817
1277,1,6,-0.0025284917295529397,0.06194207411467123,0.0341634916944189,-0.008369236363127586,0.03644853561357908,0.03616693740146015,-0.02521054911756937,-0.008952032952574185,-0.009881975316882952,0.0033271003329673476,-0.049306679165615264,-0.018761703781661865,0.006270994214677916,-0.0075241571990203315,-0.03682889084336438,0.061196022033565,-0.026636260991120042,0.012054116477351329,-0.05232787670759076,0.06536207677110206,-0.013320193123501634,-0.026633091897481975,-0.06481289541815505,-0.03889597206535711,0.03480925975085558
1302,1,1,-0.021436875840594505,-0.026061275252513783,-0.046951566133936806,-0.0012280742415938795,-0.0024574088976614394,-0.038429926408278914,-0.021491127971990376,-0.04580239248955298,0.035967909321053204,0.06418629453260216,-0.03198550680232837,-0.03240227064831147,-0.0009332472266208036,0.004657030480674562,-0.023157756744999758,0.0077347389120485666,-0.006959803240913831,-0.012393249353508162,0.33258602786988356,0.10698320212099888,0.01643820664394058,0.05477754592229567,0.011817653064533307,-0.01530212856707902,0.03187247916010927
