,window,ppo,rsi
1928,498,5,7
2011,499,5,7
20,500,5,7
103,501,5,7
186,502,5,7
269,503,5,7
352,504,5,7
435,505,5,7
518,506,5,7
601,507,5,7
684,508,5,7
767,509,5,7
850,510,5,7
933,511,5,7
1016,512,5,7
1099,513,5,7
1182,514,5,7
1265,515,1,1
1348,516,1,1
1431,517,1,1
1514,518,1,1
1597,519,1,1
1680,520,1,1
1763,521,1,1
1846,522,1,1
1929,523,1,1
2012,524,1,1
21,525,1,1
104,526,1,1
187,527,1,1
270,528,1,1
353,529,1,1
436,530,1,1
519,531,1,1
602,532,1,1
685,533,1,1
768,534,1,1
851,535,1,1
934,536,1,1
1017,537,1,1
1100,538,1,1
1183,539,1,1
1266,540,1,1
1349,541,1,1
1432,542,1,1
1515,543,1,1
1598,544,1,1
1681,545,1,1
1764,546,1,1
1847,547,1,1
1930,548,1,1
2013,549,1,1
22,550,1,1
105,551,1,1
188,552,1,1
271,553,1,1
354,554,1,1
437,555,1,1
520,556,1,1
603,557,1,1
686,558,1,1
769,559,5,14
852,560,1,11
935,561,1,11
1018,562,1,11
1101,563,1,11
1184,564,1,11
1267,565,1,11
1350,566,8,4
1433,567,1,11
1516,568,1,11
1599,569,1,11
1682,570,2,14
1765,571,2,14
1848,572,2,14
1931,573,2,14
2014,574,2,14
23,575,2,14
106,576,2,14
189,577,2,14
272,578,2,14
355,579,2,14
438,580,2,14
521,581,2,14
604,582,2,14
687,583,2,14
770,584,2,14
853,585,2,14
936,586,2,14
1019,587,2,14
1102,588,2,14
1185,589,2,14
1268,590,2,14
1351,591,2,14
1434,592,2,14
1517,593,2,14
1600,594,1,1
1683,595,1,1
1766,596,1,1
1849,597,1,1
1932,598,1,1
2015,599,1,1
24,600,1,1
107,601,1,1
190,602,1,1
273,603,1,1
356,604,1,1
439,605,1,1
522,606,1,1
605,607,1,1
688,608,1,1
771,609,1,1
854,610,1,1
937,611,1,1
1020,612,1,1
1103,613,1,1
1186,614,1,1
1269,615,1,1
1352,616,1,1
1435,617,1,1
1518,618,1,1
1601,619,1,1
1684,620,1,1
1767,621,1,1
1850,622,1,1
1933,623,1,1
2016,624,1,1
25,625,1,1
108,626,1,1
191,627,1,1
274,628,1,1
357,629,1,1
440,630,1,1
523,631,1,1
606,632,1,1
689,633,1,1
772,634,1,1
855,635,1,1
938,636,1,1
1021,637,1,1
1104,638,1,1
1187,639,1,1
1270,640,1,1
1353,641,1,1
1436,642,1,10
1519,643,9,14
1602,644,9,14
1685,645,9,14
1768,646,9,14
1851,647,1,10
1934,648,1,10
2017,649,1,10
26,650,1,10
109,651,1,10
192,652,1,10
275,653,1,10
358,654,1,10
441,655,1,10
524,656,1,10
607,657,1,10
690,658,1,10
773,659,1,10
856,660,1,10
939,661,1,10
1022,662,1,10
1105,663,1,10
1188,664,1,10
1271,665,1,10
1354,666,1,10
1437,667,1,1
1520,668,1,1
1603,669,1,1
1686,670,1,1
1769,671,1,1
1852,672,1,1
1935,673,1,1
2018,674,1,1
27,675,1,1
110,676,1,1
193,677,1,1
276,678,1,1
359,679,1,1
442,680,1,1
525,681,1,1
608,682,1,1
691,683,1,1
774,684,1,1
857,685,1,1
940,686,1,1
1023,687,1,1
1106,688,1,1
1189,689,1,1
1272,690,1,1
1355,691,1,1
1438,692,1,1
1521,693,1,1
1604,694,1,1
1687,695,1,1
1770,696,1,1
1853,697,1,1
1936,698,1,1
2019,699,1,1
28,700,1,1
111,701,1,1
194,702,1,1
277,703,1,1
360,704,1,1
443,705,1,1
526,706,1,1
609,707,1,1
692,708,1,1
775,709,1,1
858,710,1,1
941,711,1,1
1024,712,1,1
1107,713,1,1
1190,714,1,1
1273,715,1,1
1356,716,1,1
1439,717,1,1
1522,718,1,1
1605,719,1,1
1688,720,1,1
1771,721,1,1
1854,722,1,1
1937,723,1,1
2020,724,1,1
29,725,1,1
112,726,1,1
195,727,1,1
278,728,1,1
361,729,1,1
444,730,1,1
527,731,1,1
610,732,1,1
693,733,1,1
776,734,1,1
859,735,1,1
942,736,1,1
1025,737,1,1
1108,738,1,1
1191,739,1,1
1274,740,1,1
1357,741,1,1
1440,742,1,1
1523,743,1,1
1606,744,1,1
1689,745,1,1
1772,746,1,1
1855,747,1,1
1938,748,1,1
2021,749,1,1
30,750,1,1
113,751,1,1
196,752,1,1
279,753,1,1
362,754,1,1
445,755,1,1
528,756,1,1
611,757,1,1
694,758,1,1
777,759,1,1
860,760,1,1
943,761,1,1
1026,762,1,1
1109,763,1,1
1192,764,1,1
1275,765,1,1
1358,766,1,1
1441,767,1,1
1524,768,1,1
1607,769,1,1
1690,770,1,1
1773,771,1,1
1856,772,1,1
1939,773,1,1
2022,774,1,1
31,775,1,1
114,776,1,1
197,777,1,1
280,778,1,1
363,779,1,1
446,780,1,1
529,781,1,1
612,782,1,1
695,783,1,1
778,784,1,1
861,785,1,1
944,786,1,1
1027,787,1,1
1110,788,1,1
1193,789,1,1
1276,790,1,1
1359,791,1,1
1442,792,1,1
1525,793,1,1
1608,794,1,1
1691,795,1,1
1774,796,1,1
1857,797,1,10
1940,798,1,10
2023,799,1,10
32,800,1,10
115,801,1,10
198,802,1,10
281,803,1,10
364,804,1,10
447,805,1,10
530,806,1,10
613,807,1,10
696,808,1,10
779,809,1,10
862,810,1,10
945,811,1,10
1028,812,1,10
1111,813,1,10
1194,814,1,10
1277,815,1,10
1360,816,1,10
1443,817,1,10
1526,818,1,10
1609,819,1,10
1692,820,1,10
1775,821,1,10
1858,822,1,1
1941,823,1,1
2024,824,1,1
33,825,1,1
116,826,1,1
199,827,1,1
282,828,1,1
365,829,1,1
448,830,1,1
531,831,1,1
614,832,1,1
697,833,1,1
780,834,1,1
863,835,1,1
946,836,1,1
1029,837,1,1
1112,838,1,11
1195,839,1,11
1278,840,1,11
1361,841,1,11
1444,842,1,11
1527,843,1,11
1610,844,1,11
1693,845,1,11
1776,846,1,11
1859,847,1,11
1942,848,1,11
2025,849,7,5
34,850,5,7
117,851,5,7
200,852,5,7
283,853,5,7
366,854,5,7
449,855,5,7
532,856,9,3
615,857,7,5
698,858,7,5
781,859,7,5
864,860,7,5
947,861,7,5
1030,862,1,6
1113,863,1,6
1196,864,1,6
1279,865,1,6
1362,866,1,6
1445,867,1,6
1528,868,1,6
1611,869,1,6
1694,870,1,6
1777,871,1,6
1860,872,1,6
1943,873,1,6
2026,874,1,6
35,875,1,6
118,876,1,6
201,877,1,6
284,878,1,6
367,879,1,6
450,880,1,6
533,881,1,1
616,882,1,1
699,883,1,1
782,884,1,1
865,885,1,1
948,886,1,1
1031,887,1,1
1114,888,1,1
1197,889,1,1
1280,890,1,1
1363,891,1,13
1446,892,1,13
1529,893,1,13
1612,894,1,13
1695,895,1,13
1778,896,1,13
1861,897,1,13
1944,898,1,13
2027,899,1,13
36,900,1,13
119,901,1,13
202,902,1,13
285,903,1,13
368,904,1,13
451,905,1,13
534,906,1,13
617,907,1,13
700,908,1,13
783,909,1,13
866,910,1,13
949,911,1,13
1032,912,1,13
1115,913,1,13
1198,914,1,13
1281,915,1,13
1364,916,1,1
1447,917,12,14
1530,918,12,14
1613,919,12,14
1696,920,12,14
1779,921,12,14
1862,922,12,14
1945,923,12,14
2028,924,12,14
37,925,12,14
120,926,12,14
203,927,12,14
286,928,12,14
369,929,12,14
452,930,12,14
535,931,12,14
618,932,12,14
701,933,12,14
784,934,12,14
867,935,12,14
950,936,12,14
1033,937,12,14
1116,938,12,14
1199,939,12,14
1282,940,12,14
1365,941,10,14
1448,942,10,14
1531,943,10,14
1614,944,10,14
1697,945,1,1
1780,946,1,1
1863,947,1,1
1946,948,1,1
2029,949,1,1
38,950,1,1
121,951,1,1
204,952,1,1
287,953,1,1
370,954,1,1
453,955,1,1
536,956,1,1
619,957,1,1
702,958,1,1
785,959,1,1
868,960,1,1
951,961,1,1
1034,962,1,1
1117,963,1,1
1200,964,1,1
1283,965,1,1
1366,966,1,1
1449,967,1,1
1532,968,1,1
1615,969,1,1
1698,970,1,7
1781,971,1,8
1864,972,1,7
1947,973,1,7
2030,974,1,7
39,975,1,7
122,976,1,7
205,977,1,7
288,978,1,7
371,979,1,7
454,980,1,7
537,981,1,7
620,982,1,7
703,983,1,7
786,984,1,7
869,985,1,7
952,986,1,7
1035,987,1,7
1118,988,1,7
1201,989,1,7
1284,990,1,7
1367,991,1,7
1450,992,1,7
1533,993,1,7
1616,994,1,7
1699,995,1,7
1782,996,11,14
1865,997,11,14
1948,998,11,14
2031,999,11,14
40,1000,11,14
123,1001,11,14
206,1002,11,14
289,1003,11,14
372,1004,11,14
455,1005,11,14
538,1006,1,1
621,1007,1,3
704,1008,1,4
787,1009,1,3
870,1010,1,3
953,1011,1,3
1036,1012,1,3
1119,1013,1,3
1202,1014,1,3
1285,1015,1,3
1368,1016,1,3
1451,1017,1,3
1534,1018,1,3
1617,1019,1,3
1700,1020,1,3
1783,1021,1,3
1866,1022,1,3
1949,1023,1,3
2032,1024,1,3
41,1025,1,3
124,1026,1,3
207,1027,1,3
290,1028,1,3
373,1029,1,3
456,1030,1,3
539,1031,1,3
622,1032,1,1
705,1033,1,1
788,1034,1,1
871,1035,1,1
954,1036,1,1
1037,1037,1,1
1120,1038,1,1
1203,1039,1,1
1286,1040,1,1
1369,1041,1,1
1452,1042,1,1
1535,1043,1,1
1618,1044,1,1
1701,1045,1,5
1784,1046,1,5
1867,1047,1,5
1950,1048,1,5
2033,1049,1,5
42,1050,1,5
125,1051,1,5
208,1052,1,5
291,1053,1,5
374,1054,1,5
457,1055,1,5
540,1056,1,5
623,1057,1,5
706,1058,1,5
789,1059,1,5
872,1060,1,5
955,1061,1,5
1038,1062,1,5
1121,1063,1,5
1204,1064,1,5
1287,1065,1,5
1370,1066,1,5
1453,1067,1,5
1536,1068,1,5
1619,1069,1,5
1702,1070,1,1
1785,1071,1,1
1868,1072,1,1
1951,1073,1,1
2034,1074,1,1
43,1075,1,1
126,1076,1,1
209,1077,1,1
292,1078,1,1
375,1079,1,1
458,1080,1,1
541,1081,1,1
624,1082,1,1
707,1083,1,1
790,1084,1,1
873,1085,1,14
956,1086,1,14
1039,1087,1,14
1122,1088,1,14
1205,1089,1,14
1288,1090,1,14
1371,1091,1,14
1454,1092,1,14
1537,1093,1,14
1620,1094,1,14
1703,1095,1,14
1786,1096,1,14
1869,1097,1,14
1952,1098,1,14
2035,1099,1,14
44,1100,1,14
127,1101,1,14
210,1102,1,14
293,1103,1,14
376,1104,1,14
459,1105,1,14
542,1106,1,14
625,1107,1,14
708,1108,1,14
791,1109,1,14
874,1110,1,1
957,1111,1,1
1040,1112,1,1
1123,1113,1,1
1206,1114,1,1
1289,1115,1,1
1372,1116,1,1
1455,1117,1,1
1538,1118,1,1
1621,1119,1,1
1704,1120,1,1
1787,1121,1,1
1870,1122,1,1
1953,1123,1,1
2036,1124,1,1
45,1125,1,1
128,1126,1,1
211,1127,1,1
294,1128,1,2
377,1129,1,2
460,1130,1,2
543,1131,1,2
626,1132,1,2
709,1133,1,2
792,1134,1,2
875,1135,1,2
958,1136,1,2
1041,1137,1,2
1124,1138,1,2
1207,1139,1,2
1290,1140,1,2
1373,1141,1,2
1456,1142,1,2
1539,1143,1,2
1622,1144,1,2
1705,1145,1,2
1788,1146,1,2
1871,1147,1,2
1954,1148,1,2
2037,1149,1,2
46,1150,1,2
129,1151,1,2
212,1152,1,2
295,1153,1,1
378,1154,1,1
461,1155,1,1
544,1156,1,1
627,1157,1,1
710,1158,1,1
793,1159,1,1
876,1160,1,1
959,1161,1,1
1042,1162,1,1
1125,1163,1,1
1208,1164,1,1
1291,1165,1,1
1374,1166,7,14
1457,1167,7,14
1540,1168,7,14
1623,1169,7,14
1706,1170,7,14
1789,1171,7,14
1872,1172,7,14
1955,1173,7,14
2038,1174,7,14
47,1175,7,14
130,1176,7,14
213,1177,7,14
296,1178,7,14
379,1179,7,14
462,1180,7,14
545,1181,7,14
628,1182,7,14
711,1183,7,14
794,1184,7,14
877,1185,7,14
960,1186,7,14
1043,1187,7,14
1126,1188,7,14
1209,1189,7,14
1292,1190,1,1
1375,1191,1,1
1458,1192,1,1
1541,1193,1,1
1624,1194,1,1
1707,1195,1,1
1790,1196,1,1
1873,1197,1,1
1956,1198,1,1
2039,1199,1,1
48,1200,1,1
131,1201,1,1
214,1202,1,1
297,1203,1,1
380,1204,1,1
463,1205,1,1
546,1206,1,1
629,1207,1,1
712,1208,1,1
795,1209,1,1
878,1210,1,1
961,1211,1,1
1044,1212,1,1
1127,1213,1,1
1210,1214,1,1
1293,1215,1,1
1376,1216,1,1
1459,1217,1,1
1542,1218,1,1
1625,1219,1,1
1708,1220,1,3
1791,1221,1,3
1874,1222,1,3
1957,1223,1,3
2040,1224,1,3
49,1225,1,3
132,1226,1,3
215,1227,1,3
298,1228,1,3
381,1229,1,3
464,1230,1,3
547,1231,1,3
630,1232,1,3
713,1233,1,3
796,1234,1,3
879,1235,1,3
962,1236,1,3
1045,1237,1,3
1128,1238,1,3
1211,1239,1,3
1294,1240,1,3
1377,1241,1,3
1460,1242,1,3
1543,1243,1,3
1626,1244,1,3
1709,1245,1,1
1792,1246,1,1
1875,1247,1,1
1958,1248,1,1
2041,1249,1,1
50,1250,1,1
133,1251,1,1
216,1252,1,1
299,1253,1,1
382,1254,1,1
465,1255,1,1
548,1256,1,1
631,1257,1,1
714,1258,1,1
797,1259,1,1
880,1260,1,1
963,1261,1,1
1046,1262,1,1
1129,1263,1,1
1212,1264,1,1
1295,1265,1,1
1378,1266,1,1
1461,1267,1,1
1544,1268,1,1
1627,1269,1,1
1710,1270,1,1
1793,1271,1,1
1876,1272,1,1
1959,1273,1,1
2042,1274,1,1
51,1275,1,1
134,1276,1,1
217,1277,1,1
300,1278,1,1
383,1279,1,1
466,1280,1,1
549,1281,1,1
632,1282,1,1
715,1283,1,1
798,1284,1,1
881,1285,1,1
964,1286,1,1
1047,1287,1,1
1130,1288,1,1
1213,1289,1,1
1296,1290,1,1
1379,1291,1,1
1462,1292,1,1
1545,1293,1,1
1628,1294,1,1
1711,1295,1,1
1794,1296,1,1
1877,1297,1,1
1960,1298,1,1
2043,1299,1,1
52,1300,1,1
135,1301,1,1
218,1302,1,1
301,1303,1,1
384,1304,1,1
467,1305,1,1
550,1306,1,1
633,1307,1,1
716,1308,1,1
799,1309,1,1
882,1310,1,1
965,1311,1,1
1048,1312,1,1
1131,1313,1,1
1214,1314,1,1
1297,1315,1,1
1380,1316,1,1
1463,1317,1,1
1546,1318,1,1
1629,1319,1,1
1712,1320,1,1
1795,1321,1,1
1878,1322,1,1
1961,1323,1,1
2044,1324,1,1
53,1325,1,1
136,1326,1,9
219,1327,1,1
302,1328,1,1
385,1329,1,1
468,1330,1,1
551,1331,1,1
634,1332,1,1
717,1333,1,1
800,1334,1,1
883,1335,1,1
966,1336,1,1
1049,1337,1,1
1132,1338,1,1
1215,1339,1,1
1298,1340,1,1
1381,1341,1,1
1464,1342,1,1
1547,1343,1,1
1630,1344,1,1
1713,1345,1,1
1796,1346,1,1
1879,1347,1,1
1962,1348,1,1
2045,1349,1,1
54,1350,1,1
137,1351,1,1
220,1352,1,1
303,1353,1,1
386,1354,1,1
469,1355,1,1
552,1356,1,1
635,1357,1,1
718,1358,1,1
801,1359,1,1
884,1360,1,1
967,1361,1,1
1050,1362,1,1
1133,1363,1,1
1216,1364,1,1
1299,1365,1,1
1382,1366,1,1
1465,1367,1,1
1548,1368,1,1
1631,1369,1,1
1714,1370,1,1
1797,1371,1,1
1880,1372,1,1
1963,1373,1,1
2046,1374,1,1
55,1375,1,1
138,1376,1,1
221,1377,1,1
304,1378,1,1
387,1379,1,1
470,1380,1,1
553,1381,1,1
636,1382,1,1
719,1383,1,1
802,1384,1,1
885,1385,1,1
968,1386,1,1
1051,1387,1,1
1134,1388,1,1
1217,1389,1,1
1300,1390,1,1
1383,1391,1,1
1466,1392,1,1
1549,1393,1,1
1632,1394,1,1
1715,1395,1,1
1798,1396,1,1
1881,1397,1,1
1964,1398,1,1
2047,1399,1,1
56,1400,1,1
139,1401,1,1
222,1402,1,1
305,1403,1,1
388,1404,1,1
471,1405,1,1
554,1406,1,1
637,1407,1,1
720,1408,1,1
803,1409,1,1
886,1410,1,1
969,1411,1,1
1052,1412,1,1
1135,1413,1,1
1218,1414,1,1
1301,1415,1,1
1384,1416,7,14
1467,1417,7,14
1550,1418,7,14
1633,1419,7,14
1716,1420,7,14
1799,1421,7,14
1882,1422,7,14
1965,1423,7,14
2048,1424,7,14
57,1425,7,14
140,1426,7,14
223,1427,7,14
306,1428,7,14
389,1429,7,14
472,1430,7,14
555,1431,7,14
638,1432,7,14
721,1433,7,14
804,1434,7,14
887,1435,7,14
970,1436,7,14
1053,1437,7,14
1136,1438,7,14
1219,1439,7,14
1302,1440,1,1
1385,1441,1,1
1468,1442,1,1
1551,1443,1,1
1634,1444,1,1
1717,1445,1,1
1800,1446,1,1
1883,1447,1,1
1966,1448,1,1
2049,1449,1,1
58,1450,1,1
141,1451,1,1
224,1452,1,1
307,1453,1,1
390,1454,1,1
473,1455,1,1
556,1456,1,1
639,1457,1,1
722,1458,1,1
805,1459,1,1
888,1460,1,1
971,1461,1,1
1054,1462,1,1
1137,1463,1,1
1220,1464,1,1
1303,1465,1,1
1386,1466,1,1
1469,1467,1,1
1552,1468,1,1
1635,1469,1,1
1718,1470,1,1
1801,1471,1,1
1884,1472,1,1
1967,1473,1,1
2050,1474,1,1
59,1475,1,1
142,1476,1,1
225,1477,1,1
308,1478,1,1
391,1479,1,1
474,1480,1,1
557,1481,1,1
640,1482,1,1
723,1483,1,1
806,1484,1,1
889,1485,1,1
972,1486,1,1
1055,1487,1,1
1138,1488,1,1
1221,1489,1,1
1304,1490,1,1
1387,1491,1,1
1470,1492,1,1
1553,1493,1,1
1636,1494,1,1
1719,1495,1,1
1802,1496,1,1
1885,1497,1,1
1968,1498,1,1
2051,1499,1,1
60,1500,1,1
143,1501,1,1
226,1502,1,1
309,1503,1,1
392,1504,1,1
475,1505,1,1
558,1506,7,6
641,1507,7,6
724,1508,7,6
807,1509,7,6
890,1510,7,6
973,1511,7,6
1056,1512,8,14
1139,1513,8,14
1222,1514,8,14
1305,1515,8,14
1388,1516,8,14
1471,1517,8,14
1554,1518,8,14
1637,1519,8,14
1720,1520,8,14
1803,1521,8,14
1886,1522,8,14
1969,1523,8,14
2052,1524,8,14
61,1525,8,14
144,1526,8,14
227,1527,8,14
310,1528,8,14
393,1529,8,14
476,1530,8,14
559,1531,8,14
642,1532,8,14
725,1533,8,14
808,1534,8,14
891,1535,8,14
974,1536,1,1
1057,1537,1,11
1140,1538,1,1
1223,1539,1,1
1306,1540,1,1
1389,1541,1,1
1472,1542,1,1
1555,1543,1,1
1638,1544,1,4
1721,1545,1,4
1804,1546,1,4
1887,1547,1,4
1970,1548,1,4
2053,1549,4,14
62,1550,4,14
145,1551,4,14
228,1552,4,14
311,1553,4,14
394,1554,4,14
477,1555,4,14
560,1556,4,14
643,1557,4,14
726,1558,4,14
809,1559,4,14
892,1560,4,14
975,1561,4,14
1058,1562,4,14
1141,1563,4,14
1224,1564,4,14
1307,1565,4,14
1390,1566,4,14
1473,1567,4,14
1556,1568,4,14
1639,1569,4,14
1722,1570,4,14
1805,1571,4,14
