Date,pos_k_hl,neg_k_hl,pos_k_hl_copy,neg_k_hl_copy
2002-03-06,0.2682218407187317,4.016068078959894e-05,0.2682218407187317,0.0
2002-03-07,0.21906356949517594,0.03201049297479347,0.21906356949517594,0.0
2002-03-08,0.17891476455226796,0.028928796948307408,0.17891476455226796,0.0
2002-03-11,0.14612421886742963,0.026143780214050248,0.14612421886742963,0.0
2002-03-12,0.1193433498518153,0.02362688103144765,0.1193433498518153,0.0
2002-03-13,0.09747073595496526,0.02135228733961648,0.09747073595496526,0.0
2002-03-14,0.07960681830532718,0.019296672041760877,0.07960681830532718,0.0
2002-03-15,0.06501690439298001,0.01743895377411889,0.06501690439298001,0.0
2002-03-18,0.05310095224045682,0.015760080706025404,0.05310095224045682,0.0
2002-03-19,0.043368892369900734,0.014242835153852782,0.043368892369900734,0.0
2002-03-20,0.03542047262871936,0.012871657005047433,0.03542047262871936,0.0
2002-03-21,0.028928796948307408,0.011632484141387333,0.028928796948307408,0.0
2002-03-22,0.023626881031447652,0.01051260822492132,0.023626881031447652,0.0
2002-03-25,0.019296672041760873,0.008585913348013136,0.019296672041760873,0.0
2002-03-26,0.015760080706025404,0.007012332852358512,0.015760080706025404,0.0
2002-03-27,0.012871657005047431,0.005727149813787201,0.012871657005047431,0.0
2002-03-28,0.01051260822492132,0.004677508281503042,0.01051260822492132,0.0
2002-04-01,0.008585913348013135,0.6028233322415857,0.0,0.6028233322415857
2002-04-02,0.007012332852358514,0.4923410807336085,0.0,0.4923410807336085
2002-04-03,0.005727149813787202,0.40210742818560025,0.0,0.40210742818560025
2002-04-04,0.00467750828150304,0.32841131916335786,0.0,0.32841131916335786
2002-04-05,0.0038202394620198547,0.2682218407187317,0.0,0.2682218407187317
2002-04-08,0.0031200863085343662,0.21906356949517597,0.0,0.21906356949517597
2002-04-09,0.002548253498108336,0.17891476455226793,0.0,0.17891476455226793
2002-04-10,0.0020812231613143058,0.14612421886742963,0.0,0.14612421886742963
2002-04-11,0.0016997876586479874,0.11934334985181531,0.0,0.11934334985181531
2002-04-12,0.0013882596245312815,0.09747073595496526,0.0,0.09747073595496526
2002-04-15,0.0011338267902454855,0.07960681830532719,0.0,0.07960681830532719
2002-04-16,0.0009260250514830214,0.06501690439298001,0.0,0.06501690439298001
2002-04-17,0.02362688103144765,0.05310095224045681,0.02362688103144765,0.0
2002-04-18,0.019296672041760873,0.04336889236990074,0.019296672041760873,0.0
2002-04-19,0.015760080706025408,0.03542047262871935,0.015760080706025408,0.0
2002-04-22,0.012871657005047433,0.028928796948307415,0.0,0.028928796948307415
2002-04-23,0.010512608224921324,0.02362688103144765,0.010512608224921324,0.0
2002-04-24,0.008585913348013131,0.01929667204176087,0.008585913348013131,0.0
2002-04-25,0.007012332852358514,0.09747073595496526,0.0,0.09747073595496526
2002-04-26,0.005727149813787202,0.07960681830532716,0.0,0.0
2002-04-29,0.004677508281503039,0.06501690439298,0.0,0.0
2002-04-30,0.003820239462019855,0.05310095224045683,0.0,0.0
2002-05-01,0.0031200863085343654,0.04336889236990074,0.0,0.0
2002-05-02,0.0025482534981083353,0.03542047262871935,0.0,0.0
2002-05-03,0.0020812231613143058,0.028928796948307408,0.0,0.0
2002-05-06,0.0016997876586479868,0.023626881031447656,0.0,0.0
2002-05-07,0.0013882596245312826,0.01929667204176087,0.0,0.0
2002-05-08,0.001133826790245486,0.015760080706025404,0.0,0.0
2002-05-09,0.0009260250514830211,0.012871657005047431,0.0,0.0
2002-05-10,0.0007563081092734366,0.010512608224921323,0.0,0.0
2002-05-13,0.0006176959848296803,0.008585913348013135,0.0,0.0
2002-05-14,0.0034524595349939777,0.007012332852358514,0.0,0.0
2002-05-15,0.002819711128843277,0.005727149813787202,0.0,0.0
2002-05-16,0.0023029294824556115,0.004677508281503041,0.0,0.0
2002-05-17,0.001880860825392034,0.003820239462019855,0.0,0.0
2002-05-20,0.0015361466651259452,0.0031200863085343654,0.0,0.0
2002-05-21,0.0012546098812418571,0.0025482534981083366,0.0,0.0
2002-05-22,0.0010246716604893021,0.0020812231613143045,0.0,0.0
2002-05-23,0.0008368752928764004,0.0016997876586479876,0.0,0.0
2002-05-24,0.000683497243880565,0.0013882596245312817,0.000683497243880565,0.0
2002-05-28,0.0005582295072741807,0.001133826790245485,0.0005582295072741807,0.0
2002-05-29,0.00045592017463354635,0.00950054436760256,0.00045592017463354635,0.0
2002-05-30,0.0003723615518872757,0.00775933516725344,0.0003723615518872757,0.0
2002-05-31,0.00030411710873585524,0.006337245520697372,0.00030411710873585524,0.0
2002-06-03,0.0002483801438604343,0.005175788894786789,0.0,0.0
2002-06-04,0.00020285835321982474,0.004227197856845902,0.0,0.0
2002-06-05,0.219063569495176,0.00345245953499398,0.0,0.00345245953499398
2002-06-06,0.17891476455226796,0.0028197111288432767,0.0,0.0028197111288432767
2002-06-07,0.17891476455226793,0.0023029294824556106,0.0,0.0023029294824556106
2002-06-10,0.16169038380203768,0.0018808608253920354,0.0,0.0018808608253920354
2002-06-11,0.14612421886742963,0.001536146665125945,0.0,0.001536146665125945
2002-06-12,0.13205663093581818,0.0012546098812418567,0.0,0.0012546098812418567
2002-06-13,0.1193433498518153,0.001024671660489303,0.0,0.001024671660489303
2002-06-14,0.1078539945546169,0.0008368752928763999,0.0,0.0008368752928763999
2002-06-17,0.09747073595496526,0.0006834972438805649,0.0,0.0006834972438805649
2002-06-18,0.07960681830532716,0.000558229507274181,0.0,0.000558229507274181
2002-06-19,0.8167253229944647,0.0004559201746335463,0.0,0.0004559201746335463
2002-06-20,0.6670402532204126,0.001880860825392034,0.0,0.001880860825392034
2002-06-21,0.5447886662617509,0.0015361466651259454,0.0,0.0015361466651259454
2002-06-24,0.44494269941635217,0.001254609881241857,0.0,0.001254609881241857
2002-06-25,0.3633959698948492,0.0010246716604893024,0.0,0.0010246716604893024
2002-06-26,0.29679469088725746,0.0008368752928764003,0.0,0.0008368752928764003
2002-06-27,0.24239973977793763,0.000683497243880565,0.0,0.000683497243880565
2002-06-28,0.1979740057639103,0.0005582295072741806,0.0,0.0005582295072741806
2002-07-01,0.16169038380203768,0.0004559201746335463,0.0,0.0004559201746335463
2002-07-02,0.13205663093581815,0.00037236155188727577,0.0,0.00037236155188727577
2002-07-03,0.1078539945546169,0.0003041171087358553,0.0,0.0003041171087358553
2002-07-05,0.08808708853886273,0.0002483801438604343,0.0,0.0002483801438604343
2002-07-08,0.07194295583854465,0.00020285835321982472,0.0,0.00020285835321982472
2002-07-09,0.058757633844411905,0.00016567955405558647,0.0,0.00016567955405558647
2002-07-10,0.047988847479967796,0.00013531468729962781,0.0,0.00013531468729962781
2002-07-11,0.0391937069582088,0.00011051493169068349,0.0,0.00011051493169068349
2002-07-12,0.032010492974793484,9.026034328078465e-05,0.0,9.026034328078465e-05
2002-07-15,0.026143780214050238,7.371790801959014e-05,0.0,7.371790801959014e-05
2002-07-16,0.021352287339616485,1.0,0.0,1.0
2002-07-17,0.017438953774118884,1.0,0.0,1.0
2002-07-18,0.014242835153852789,1.0,0.0,1.0
2002-07-19,0.1193433498518153,1.0,0.0,1.0
2002-07-22,0.1078539945546169,1.0,0.0,1.0
2002-07-23,0.09747073595496526,1.0,0.0,1.0
2002-07-24,0.0880870885388627,1.0,0.0,1.0
2002-07-25,0.07960681830532718,1.0,0.0,1.0
2002-07-26,0.07194295583854467,1.0,0.0,1.0
2002-07-29,0.06501690439298001,9.734938572703603e-06,0.0,9.734938572703603e-06
2002-07-30,0.053100952240456814,7.950770850122628e-06,0.0,7.950770850122628e-06
2002-07-31,0.04336889236990074,6.493595890621367e-06,0.0,6.493595890621367e-06
2002-08-01,0.7380980058649061,5.303484201163269e-06,0.0,5.303484201163269e-06
2002-08-02,0.6028233322415857,4.3314898471911136e-06,0.0,4.3314898471911136e-06
2002-08-05,0.49234108073360855,1.0,0.0,1.0
2002-08-06,0.5447886662617509,6.662097938422903e-05,0.0,6.662097938422903e-05
2002-08-07,0.44494269941635217,5.441104090579206e-05,0.0,5.441104090579206e-05
2002-08-08,0.36339596989484924,4.4438874958248e-05,0.0,4.4438874958248e-05
2002-08-09,0.2967946908872575,3.629435450378574e-05,0.0,3.629435450378574e-05
2002-08-12,0.24239973977793766,2.964251840498003e-05,0.24239973977793766,0.0
2002-08-13,0.1979740057639103,2.420979541867669e-05,0.1979740057639103,0.0
2002-08-14,0.16169038380203762,1.9772752982948606e-05,0.16169038380203762,0.0
2002-08-15,0.13205663093581815,1.6148908066488477e-05,0.13205663093581815,0.0
2002-08-16,0.1078539945546169,1.3189222156610723e-05,0.1078539945546169,0.0
2002-08-19,0.08808708853886273,1.077197172590363e-05,0.08808708853886273,0.0
2002-08-20,0.07194295583854467,8.797742087125887e-06,0.07194295583854467,0.0
2002-08-21,0.05875763384441189,7.18533874772989e-06,0.05875763384441189,0.0
2002-08-22,0.047988847479967796,5.86844810956433e-06,0.047988847479967796,0.0
2002-08-23,0.0391937069582088,4.792910177760186e-06,0.0391937069582088,0.0
2002-08-26,0.03201049297479348,3.9144911130146475e-06,0.03201049297479348,0.0
2002-08-27,0.026143780214050245,3.1970640186358456e-06,0.026143780214050245,0.0
2002-08-28,0.021352287339616482,2.6111231432543433e-06,0.021352287339616482,0.0
2002-08-29,0.017438953774118887,2.132570392552727e-06,0.017438953774118887,0.0
2002-08-30,0.014242835153852784,1.7417242426660557e-06,0.014242835153852784,0.0
2002-09-03,0.011632484141387331,1.4225102946587248e-06,0.011632484141387331,0.0
2002-09-04,0.00950054436760256,1.1618001798680984e-06,0.00950054436760256,0.0
2002-09-05,0.00775933516725344,8.797742087125882e-06,0.0,0.0
2002-09-06,0.006337245520697374,7.185338747729886e-06,0.0,0.0
2002-09-09,0.005175788894786788,5.868448109564337e-06,0.0,0.0
2002-09-10,0.0880870885388627,1.0,0.0,1.0
2002-09-11,0.07960681830532718,3.914491113014645e-06,0.0,3.914491113014645e-06
2002-09-12,0.07194295583854467,1.0,0.0,1.0
2002-09-13,0.06501690439298001,1.0,0.0,1.0
2002-09-16,0.05875763384441189,1.0,0.0,1.0
2002-09-17,0.05310095224045682,1.0,0.0,1.0
2002-09-18,0.0479888474799678,1.0,0.0,1.0
2002-09-19,0.043368892369900734,1.0,0.0,1.0
2002-09-20,0.0391937069582088,1.0,0.0,1.0
2002-09-23,0.035420472628719356,1.0,0.0,1.0
2002-09-24,0.03201049297479347,1.0,0.0,1.0
2002-09-25,0.028928796948307408,1.0,0.0,1.0
2002-09-26,0.026143780214050248,4.221935031871775e-07,0.0,4.221935031871775e-07
2002-09-27,0.02362688103144765,1.0,0.0,1.0
2002-09-30,0.02135228733961648,2.8162006127398817e-07,0.0,2.8162006127398817e-07
2002-10-01,0.019296672041760877,2.3000623550571873e-07,0.0,2.3000623550571873e-07
2002-10-02,0.01743895377411889,1.0,0.0,1.0
2002-10-03,0.015760080706025404,1.0,0.0,1.0
2002-10-04,0.014242835153852782,1.0,0.0,1.0
2002-10-07,0.012871657005047433,1.0,0.0,1.0
2002-10-08,0.011632484141387333,1.0,0.0,1.0
2002-10-09,0.01051260822492132,1.0,0.0,1.0
2002-10-10,0.00950054436760256,1.0,0.0,1.0
2002-10-11,0.008585913348013135,4.553525579374452e-08,0.0,4.553525579374452e-08
2002-10-14,0.007012332852358511,3.7189796495781525e-08,0.0,3.7189796495781525e-08
2002-10-15,0.8167253229944647,3.0373848555115584e-08,0.0,3.0373848555115584e-08
2002-10-16,0.6670402532204126,2.4807091271761744e-08,0.0,2.4807091271761744e-08
2002-10-17,0.5447886662617509,2.0260579631482756e-08,0.5447886662617509,0.0
2002-10-18,0.44494269941635217,1.654732844357783e-08,0.44494269941635217,0.0
2002-10-21,0.3633959698948492,1.3514622167776606e-08,0.3633959698948492,0.0
2002-10-22,0.29679469088725746,1.1037734155125489e-08,0.29679469088725746,0.0
2002-10-23,0.24239973977793763,9.0147969929719e-09,0.24239973977793763,0.0
2002-10-24,0.1979740057639103,7.3626129858145095e-09,0.1979740057639103,0.0
2002-10-25,0.16169038380203768,6.01323246892259e-09,0.16169038380203768,0.0
2002-10-28,0.13205663093581815,0.02362688103144765,0.13205663093581815,0.0
