,std,Date,pos_k,neg_k,pos_k_t,neg_k_t,pos_k_hl,neg_k_hl
205,10.00139344532749,2002-02-20,,,7.0,84.0,4.1079789249195397e-25,2.3096091027834383e-293
206,9.89882132459266,2002-02-21,,,8.0,85.0,1.3485306069126542e-28,7.58177834412486e-297
207,10.016417210647374,2002-02-22,,,9.0,86.0,4.4268357530968343e-32,2.488878433591395e-300
208,11.289767710593445,2002-02-25,,,10.0,87.0,1.4532020767227367e-35,8.170267681323738e-304
209,12.746487766700715,2002-02-26,,,11.0,88.0,4.770441899304526e-39,2.6820624536551642e-307
210,13.641470554425924,2002-02-27,,,12.0,89.0,1.5659980314618308e-42,8.804434916803e-311
211,13.81834254481759,2002-02-28,,,13.0,90.0,5.140718378521396e-46,2.890241206e-314
212,12.280737575933472,2002-03-01,,,14.0,91.0,1.6875490847583098e-49,9.487824e-318
213,10.033908565516438,2002-03-04,,,15.0,92.0,5.53973531280614e-53,3.113e-321
214,8.909220307124576,2002-03-05,,,16.0,93.0,1.8185347977802114e-56,0.0
215,9.23942852129713,2002-03-06,,,17.0,94.0,5.96972350482631e-60,0.0
216,10.934529178366342,2002-03-07,,,18.0,95.0,1.9596874784896414e-63,0.0
217,12.226158563439965,2002-03-08,,,19.0,96.0,6.433086909710779e-67,0.0
218,11.990378649482764,2002-03-11,,,20.0,97.0,2.1117962757912746e-70,0.0
219,10.765165166133293,2002-03-12,,,21.0,98.0,6.9324160749543954e-74,0.0
220,9.159552227830169,2002-03-13,,,22.0,99.0,2.2757115914640177e-77,0.0
221,7.387476036755211,2002-03-14,,,23.0,100.0,7.470502623513925e-81,0.0
222,5.0175771767193025,2002-03-15,,1.0,24.0,0.0,2.4523498345423292e-84,1.0
223,3.066372753126483,2002-03-18,,,25.0,1.0,8.050354861064161e-88,0.00032827106262212926
224,1.8717054591574627,2002-03-19,,,26.0,2.0,2.6426985447267654e-91,1.0776189055506189e-07
225,2.128564506635195,2002-03-20,,,27.0,3.0,8.675214594674127e-95,3.537511032267976e-11
226,3.3359162172269117,2002-03-21,,,28.0,4.0,2.847821913468609e-98,1.1612625056001137e-14
227,4.94888537273094,2002-03-22,,,29.0,5.0,9.34857525692929e-102,3.81208876696587e-18
