Date,pos_k,neg_k,pos_k_hl,neg_k_hl,POS_DI14,NEG_DI14,ADX,pos_k_copy,neg_k_copy,pos_k_hl_copy,neg_k_hl_copy
2011-02-18,0.020000000000000004,0.0,0.09473228540689986,0.0,28.1072963679419,14.493223759673322,26.252632496879645,0.020000000000000004,0.0,0.09473228540689986,0.0
2011-02-22,0.0,0.0,0.07179364718731468,0.0,20.41532310266049,26.58412775955733,25.314963721678733,0.0,0.0,0.0,0.0
2011-02-23,0.0,0.0,0.05440941020600775,0.0,19.099814246494137,27.84359638855829,24.83719619151529,0.0,0.0,0.0,0.0
2011-02-24,0.0,0.0,0.041234622211652944,0.0,19.117628217074877,22.6457142384488,23.66652544159211,0.0,0.0,0.0,0.0
2011-02-25,0.0,0.0,0.03125,0.0,24.702970498792478,22.802657261979576,22.261786874853147,0.0,0.0,0.0,0.0
2011-02-28,0.0,0.0,0.023683071351724972,0.0,15.87182259007706,23.577058207132662,22.066816623158587,0.0,0.0,0.0,0.0
2011-03-01,0.0,0.0,0.017948411796828673,0.0,13.978339219403233,28.06348822758591,22.88366572191677,0.0,0.0,0.0,0.0
2011-03-02,0.0,0.0,0.013602352551501938,0.0,14.149466083849301,24.592412923094262,23.17448883731893,0.0,0.0,0.0,0.0
2011-03-03,0.0,0.0,0.0,0.0,19.23265099895611,24.692750178588447,22.40705328807135,0.0,0.0,0.0,0.0
2011-03-04,0.0,0.0,0.0,0.0,16.402797933047797,31.013259812346053,23.007500951752238,0.0,0.0,0.0,0.0
2011-03-07,0.0,0.0,0.0,0.0,15.799522810533993,35.3824416529405,24.0970627538982,0.0,0.0,0.0,0.0
2011-03-08,0.0,0.0,0.0,0.0,14.07219023911472,35.326818561809795,25.449160180129148,0.0,0.0,0.0,0.0
2011-03-09,0.0,0.0,0.0,0.0,15.574947550803726,35.846642796916264,26.447258491803183,0.0,0.0,0.0,0.0
2011-03-10,0.0,0.0,0.0,0.0,16.29461245236177,39.169157116909325,27.50404851385477,0.0,0.0,0.0,0.0
2011-03-11,0.0,0.0,0.0,0.0,18.270569879105448,39.66328471026953,28.17705240740169,0.0,0.0,0.0,0.0
2011-03-14,0.0,0.0,0.0,0.0,18.26571348574244,31.90714013807289,28.10646719594475,0.0,0.0,0.0,0.0
2011-03-15,0.0,0.0,0.0,0.0,17.88904419205048,38.58025403423782,28.71611390560098,0.0,0.0,0.0,0.0
2011-03-16,0.0,0.0,0.0,0.0,17.180729505576767,40.15176349322979,29.526844641452204,0.0,0.0,0.0,0.0
2011-03-17,0.0,0.0,0.0,0.0,11.871562310638163,40.4016526611575,31.316269600264512,0.0,0.0,0.0,0.0
2011-03-18,0.0,0.0,0.0,0.0,21.15169962028955,36.861501840094256,31.013657646506754,0.0,0.0,0.0,0.0
