,Date,pos_k,neg_k,std,pos_k_hl,neg_k_hl
1449,2007-01-30,,,0.2784599749292896,0.6906632178285195,0.78783882357551
1450,2007-01-31,,,0.31870304512502456,0.6550951354804748,0.742244046822337
1451,2007-02-01,,,0.3364180609729806,0.6213587540964611,0.6992879870312666
1452,2007-02-02,,,0.3339790854539204,0.5893597439235051,0.6588179331309456
1453,2007-02-05,,,0.3061293579883731,0.5590086330443119,0.6206900119328437
1454,2007-02-06,1.0,,0.25567803018942586,1.0,0.5847686766544358
1455,2007-02-07,,,0.18309418436192404,0.527717025510907,0.5509262250431995
1456,2007-02-08,,,0.12585037636645396,0.2784852590140793,0.5190423453883332
1457,2007-02-09,,,0.10703327347339,0.14696141253554443,0.48900368880624084
1458,2007-02-12,,,0.12073049086272457,0.0,0.46070346627923847
1459,2007-02-13,,,0.14140204147823357,,0.43404106901493106
1460,2007-02-14,,,0.17269012769176328,,0.408921710776618
1461,2007-02-15,,,0.20216077141084113,,0.38525609091319357
1462,2007-02-16,,,0.22828840283092863,,0.3629600768905949
1463,2007-02-20,,,0.24776997989480642,,0.34195440519618003
1464,2007-02-21,,,0.2608118435908648,,0.3221643995527357
1465,2007-02-22,,,0.26489860400822907,,0.3035197054403502
1466,2007-02-23,,,0.24778513775709451,,0.28595403998236296
1467,2007-02-26,,1.0,0.21250125313499915,,1.0
1468,2007-02-27,,,0.2102587579656752,,0.5878678314250756
1469,2007-02-28,,,0.30066544960643465,,0.34558858722442104
1470,2007-03-01,,,0.44276405813804265,,0.20316041333687598
1471,2007-03-02,,,0.5971040464554527,,0.11943147161977129
1472,2007-03-05,,,0.745221065976485,,0.0
1473,2007-03-06,,,0.829872836698192,,
1474,2007-03-07,,,0.8653717321038638,,
1475,2007-03-08,,,0.8437010208252843,,
1476,2007-03-09,,,0.7748790741539837,,
1477,2007-03-12,,,0.6449365131641415,,
1478,2007-03-13,,,0.5454404978830498,,
1479,2007-03-14,,,0.4605701558850772,,
1480,2007-03-15,,,0.39415387140633956,,
1481,2007-03-16,,,0.3712234536724903,,
1482,2007-03-19,,,0.3726183871951555,,
1483,2007-03-20,1.0,,0.35088919845211664,1.0,
1484,2007-03-21,,,0.3113524400903543,0.4159363662650683,
1485,2007-03-22,,,0.27105250751568105,0.17300306078178904,
1486,2007-03-23,,,0.23820361726619108,0.0,
1487,2007-03-26,,,0.21587839480549062,,
1488,2007-03-27,,,0.253878677432354,,
1489,2007-03-28,,,0.27730678762377375,,
1490,2007-03-29,,,0.2885926433898076,,
1491,2007-03-30,,,0.2670854116648932,,
1492,2007-04-02,,,0.21559701687728094,,
1493,2007-04-03,,,0.14307683922435993,,
1494,2007-04-04,,,0.09984836962265065,,
1495,2007-04-05,,,0.08395347363289404,,
1496,2007-04-09,,,0.08982444526061044,,
1497,2007-04-10,,,0.09390470520240328,,
1498,2007-04-11,,,0.08778911776319268,,
1499,2007-04-12,,1.0,0.10022553741362779,,1.0
1500,2007-04-13,,,0.10850068909620196,,0.7783617850602673
